"","Month","Hours watched (mins)","Average viewers","Peak viewers","Average channels","Peak channels","Hours streamed (mins)","Games streamed","Active affiliates","Active partners"
"39","May 2019","56371216320","1264495","2607531","48357","108748","2155778460","20751","358193","19947"
"40","April 2019","53299571940","1235502","2368981","51328","85936","2214296340","20536","344654","19758"
"41","March 2019","56864014800","1275549","2630058","55019","91558","2452776240","20457","361341","20409"
"42","February 2019","52890411060","1313721","2624711","56375","126102","2269667280","19573","362577","20348"
"43","January 2019","56943028440","1277322","2278352","55853","113142","2489969580","19995","362808","20406"
"44","December 2018","50758191720","1138586","2021262","48190","75253","2148340140","19156","346293","20444"
"45","November 2018","51937841580","1203936","2515155","45464","82002","1961335200","18789","333561","20582"
"46","October 2018","51163485660","1147678","2093870","43558","72456","1941844860","18524","318773","20668"
"47","September 2018","48903660780","1133603","2431863","44246","70866","1908812400","18526","300914","20732"
"48","August 2018","51351638460","1151898","3929074","44383","69200","1978602780","19233","288819","20729"
"49","July 2018","47774579940","1071659","1974783","41629","62829","1855839240","19290","271412","20455"
"50","June 2018","47343901740","1097447","2847241","39761","59638","1715299020","18833","259664","20495"
"51","May 2018","45730642680","1025810","1714327","38746","60843","1727301360","19011","251830","20615"
"52","April 2018","43759568100","1014361","2009005","39491","63502","1703669100","19132","239338","20697"
"53","March 2018","43280496780","970850","2399946","38981","64646","1737795420","19274","230653","20756"
"54","February 2018","36942626460","917601","1735587","35548","57274","1431165900","18667","208213","20067"
"55","January 2018","43213201800","969340","2315343","33580","54637","1497038760","18309","202365","20100"
"56","December 2017","34388250420","771382","1496306","28181","45090","1256321760","16871","182548","19768"
"57","November 2017","34533090180","800488","1532756","26768","44464","1154798220","16532","170527","19607"
"58","October 2017","35110652040","787587","1835725","25723","41037","1146762420","15847","163889","19373"
"59","September 2017","31655479080","733784","1519456","25038","39335","1080160800","15804","154847","19156"
"60","August 2017","32007021960","717968","1824303","24711","36454","1101643800","15898","150439","18664"
"61","July 2017","34013953800","762986","1802287","25810","43137","1150616220","15962","146063","18429"
"62","June 2017","30649939800","710476","1935516","23412","36399","1010032080","15393","136058","18119"
"63","May 2017","30415651320","682271","1514023","22362","36115","996909120","15276","132051","17906"
"64","April 2017","32125878060","744688","1823848","22078","36939","952487100","15007","116995","17329"
"65","March 2017","30983998620","695020","1500730","23094","39747","1029558480","14794","113841","17170"
"66","February 2017","30055938480","746545","1524883","24219","40385","975077940","14737","113802","16721"
"67","January 2017","36075072000","809220","2284184","24081","40243","1073553420","14841","115447","16737"
"68","December 2016","29429071380","660140","1385864","22291","36915","993774720","14033","106404","16145"
"69","November 2016","26981305680","625435","1410023","20715","38234","893646480","13968","96632","15880"
"70","October 2016","27182100060","609737","1549150","19250","32931","858202320","13973","95532","15685"
"71","September 2016","21769992600","504635","1186009","16880","30957","728235960","13484","90028","14848"
"72","August 2016","22927042380","514289","1334490","16592","29061","739696440","13693","87572","14514"
"73","July 2016","26779909500","600715","1453743","18030","27522","803789160","12961","83858","14300"
"74","June 2016","26785760700","620903","1755888","18818","30935","811816740","12374","82394","14213"
"75","May 2016","26990197860","605432","1438962","19394","32880","864607020","12424","84012","14409"
"76","April 2016","22678526820","525696","1775120","16791","33973","724370340","12282","78753","14019"
"77","March 2016","29440158480","660389","1591551","20271","35019","903725040","12234","77899","13871"
"78","February 2016","26511593820","635769","1308032","20427","34954","851812440","12134","74572","13514"
"79","January 2016","28814514240","646355","1275257","20076","35788","895013760","12149","74399","13360"
